age,Sexe,Situation,Ville,Profession,UtilisateurPotentiel,TypeContrat
41,Femme,Célibataire,Tunis,Cadre,Non,Contrat de Partenariat
52,Homme,Célibataire,Tunis,"Artisans, commerçants, chef d'entreprise",Oui,Contrat de vente ou d'achat de materiels
65,Homme,Marié(e),Ben Arous,Retraité(e),Non,Contrat d'assurance voyage
34,Femme,Célibataire,Tunis,Employé(e),Non,Contrat de travail (CDI- CDD- CIVP)
68,Homme,Marié(e),Sfax,"Artisans, commerçants, chef d'entreprise",Oui,Contrat d'assurance voyage
62,Femme,Divorcé(e),Tunis,Retraité(e),Oui,Contrat de location ou de vente de Bien immobilier
29,Femme,Célibataire,Ariana,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
27,Homme,Célibataire,Bizerte,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
35,Femme,Marié(e),La Mannouba,Cadre,Oui,Contrat de location ou de vente de voiture
50,Femme,Marié(e),Ben Arous,Agriculteur,Oui,Contrat de location ou de vente de voiture
42,Femme,Marié(e),Bizerte,Employé(e),Non,Contrat de location ou de vente de Bien immobilier
30,Femme,En Couple,Tunis,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
30,Homme,Célibataire,La Mannouba,Employé(e),Non,Attestation de Stage
